1.474437466684712561e+01,1.238158820350871991e+01
1.478303391445108339e+01,1.410145360732296815e+01
1.204734833115254133e+01,1.597199399022798261e+01
1.228096365049306726e+01,1.891373349690960382e+01
1.208715812653431954e+01,1.173685619035601846e+01
1.699419295849635247e+01,1.782125072287642809e+01
1.248282131951151896e+01,1.523894367169746999e+01
1.689725652682585988e+01,1.597392031713386018e+01
1.136676729905484784e+01,1.088109615932093810e+01
1.876917144369921431e+01,1.642454909016604248e+01
1.943571892771472420e+01,1.198942144616901473e+01
1.436706319297509893e+01,1.389305865039084154e+01
1.243186882287134409e+01,1.452508027996815265e+01
1.372932735012262384e+01,1.061163006196196612e+01
1.759612688922932477e+01,1.395051253646118283e+01
1.978080017937534762e+01,1.955703399909751283e+01
1.503169179758447704e+01,1.376894535245215145e+01
1.276353270128632822e+01,1.271160635056150134e+01
1.528654562374971349e+01,1.775948239987530997e+01
1.390171843353448011e+01,1.341632649929378829e+01
1.313641902568052267e+01,1.594948777266602313e+01
1.723568233299904051e+01,1.691180629364509258e+01
1.495038105872284717e+01,1.421756206105732012e+01
1.580938871899062903e+01,1.374725395439610409e+01
1.301562669790567384e+01,1.392967308553246397e+01
1.896494997790493997e+01,1.216441394765718798e+01
1.799636567274308874e+01,1.736523256231186707e+01
1.192832928895099798e+01,1.433136814334904230e+01
1.454379246054842056e+01,1.072098552329358334e+01
1.923662257674028098e+01,1.850294641225141845e+01
