,Dim,Python
0,0,0.00044145727157592773
1,2,0.0014124798774719236
2,4,0.0023896856307983405
3,6,0.00330822277069092
4,8,0.00403978633880615
5,10,0.0049183282852172825
6,12,0.006012562274932863
7,14,0.006972060680389407
8,16,0.008037272930145264
9,18,0.00807829713821411
10,20,0.0072801623344421395
11,22,0.0063615384101867655
12,24,0.009808715343475346
13,26,0.013041962146759034
14,28,0.012905491828918461
15,30,0.0136008243560791
16,32,0.015080402374267578
17,34,0.015666965007781985
18,36,0.016803221702575685
19,38,0.014226829528808596
20,40,0.009650294303894046
21,42,0.012970910072326656
22,44,0.01728856229782105
23,46,0.01733581399917603
24,48,0.017358979225158694
25,50,0.018947772979736325
26,52,0.018869984149932857
27,54,0.021011240959167482
28,56,0.022815502166748054
29,58,0.020372489452362058
30,60,0.0219288158416748
31,62,0.022891710758209227
32,64,0.02317547655105592
33,66,0.023979407310485836
34,68,0.024559751033782953
35,70,0.025083650112152103
