1.284415934496420775e+01,1.933418813272929171e+01
1.738844728049535604e+01,1.131594110208266812e+01
1.026393535739594576e+01,1.797061231569545470e+01
1.690957791695465318e+01,1.611764232791395202e+01
1.265116433804474916e+01,1.052684337204163789e+01
1.725434756716933293e+01,1.229342254246132704e+01
1.056461375722715879e+01,1.673920055367890214e+01
1.367420013475064344e+01,1.402552790952778494e+01
1.228457665325675485e+01,1.999386065362291376e+01
1.497463020654220145e+01,1.256111703200600971e+01
1.899122622575494290e+01,1.023146880300261863e+01
1.808857589216967909e+01,1.763059047021353720e+01
1.133464459156298609e+01,1.719558140309672467e+01
1.293945775376049134e+01,1.944860250349610453e+01
1.785728729152601346e+01,1.314460262601657092e+01
1.801891578169819041e+01,1.063311535141658659e+01
1.145878592238488380e+01,1.672884612065253407e+01
1.400375018120163872e+01,1.774390602176327647e+01
1.350793012859517539e+01,1.747765766704836210e+01
1.352438419532226987e+01,1.573685048406310472e+01
1.566554072725644176e+01,1.601099616313354446e+01
1.894716521569547396e+01,1.552094562223378382e+01
1.003204574172324826e+01,1.316307616941514880e+01
1.416027136165334888e+01,1.376986494310106224e+01
1.565385176822776714e+01,1.216551770976028024e+01
1.206940247615009199e+01,1.185452058382874796e+01
1.810383982721155149e+01,1.985557851044715250e+01
1.874433872510801891e+01,1.533963669137222396e+01
1.433020073377614167e+01,1.816282265274648822e+01
1.949051034498167922e+01,1.913961308843433784e+01
