1.565952101933636698e+01,1.055100222315140002e+01,1.013053993012495724e+01
1.090183895485940369e+01,1.785007455838687918e+01,1.587312109150094130e+01
1.470379476885017311e+01,1.254851516888092888e+01,1.092838373946254293e+01
1.397510465968995774e+01,1.102890902560665154e+01,1.545961948636881900e+01
1.409369051525579764e+01,1.281608262088060002e+01,1.556687826358096771e+01
1.462504671457747207e+01,1.819989365073217868e+01,1.083729375022602071e+01
1.144361590123547501e+01,1.063784224246871624e+01,1.323493297298433724e+01
1.875710274783438081e+01,1.736762504668966045e+01,1.952554016607746945e+01
1.329751081754555031e+01,1.785986058829260159e+01,1.223761269042091548e+01
1.250877626241111074e+01,1.249025116021504900e+01,1.928601534679108909e+01
1.642988869347931313e+01,1.627740174695639297e+01,1.709306600511219898e+01
1.243058242459442475e+01,1.433282381483213541e+01,1.129336861901768430e+01
1.815996953090392196e+01,1.269385107663611834e+01,1.143740532401082532e+01
1.189464240862348277e+01,1.075630832711279261e+01,1.091512347194151644e+01
1.430160829991396909e+01,1.628258273035757497e+01,1.651052987043323128e+01
1.070193208321904166e+01,1.804378341001511643e+01,1.241392410082149844e+01
1.097114050372607608e+01,1.379332281271546634e+01,1.905855443901084101e+01
1.257786825867480118e+01,1.127256043695754428e+01,1.387558987262613641e+01
1.250477110102192135e+01,1.387599122289084264e+01,1.619489167955554265e+01
1.922685526566595016e+01,1.030427892124002121e+01,1.797060484804725178e+01
1.734801007378107229e+01,1.577254480501029654e+01,1.470017637209349282e+01
1.901819870279079083e+01,1.975791599284737288e+01,1.929281468900655128e+01
1.423082044738079155e+01,1.175731564848180177e+01,1.610060827994741572e+01
1.752828082152212374e+01,1.606870774173470195e+01,1.123057556763661857e+01
1.450394251758152109e+01,1.852759317414287210e+01,1.773896802618306268e+01
1.704218481888863934e+01,1.210901149523004960e+01,1.123459747379193807e+01
1.615566703579089136e+01,1.919572771350819806e+01,1.484033570911946498e+01
1.602799899793807370e+01,1.810046536568921027e+01,1.204898478443526955e+01
1.497601948731257160e+01,1.087226195488959846e+01,1.824524674835354432e+01
1.157447561313546025e+01,1.812346977509573520e+01,1.634712857786447415e+01
